Name,Sex
"Smith, Commander Edward John, RNR (Retd)",male
"Wilde, Lieutenant Henry Tingle",male
"Murdoch, Lieutenant William McMaster, RNR",male
"Lightoller, Sub-Lieutenant Charles Herbert, RNR",male
"Pitman, Mr. Herbert John",male
"Lowe, Sub-Lieutenant Harold Godfrey, RNR",male
"Anderson, Mr. James",male
"Anderson, Mr. John",male
"Archer, Mr. Ernest Edward",male
"Bailey, Mr. Joseph Henry",male
"Bradley, Mr. T.",male
"Brice, Mr. Walter T.",male
"Bright, Mr. Arthur John",male
"Buley, Mr. Edward John",male
"Clench, Mr. Frederick",male
"Callahan, Mr. James",male
"Couch, Mr. Frank",male
"Davis, Mr. Stephen James",male
"Evans, Mr. Alfred Frank",male
"Evans, Mr. Frank Oliver",male
"Fleet, Mr. Frederick",male
"Foley, Mr. John",male
"Forward, Mr. James",male
"Haines, Mr. Albert M.",male
"Harder, Mr. William",male
"Hemming, Mr. Samuel Ernest",male
"Hichens, Mr. Robert",male
"Hogg, Mr. George Alfred",male
"Holman, Mr. Harry",male
"Hopkins, Mr. Robert John",male
"Horswill, Mr. Albert Edward James",male
"Humphreys, Mr. Sidney James",male
"Hutchinson, Mr. John Hall",male
"Jewell, Mr. Archie",male
"Jones, Mr. Thomas William",male
"King, Mr. Thomas W.",male
"Lee, Mr. Reginald Robinson",male
"Lucas, Mr. William A.",male
"Lyons, Mr. William Henry",male
"Matherson, Mr. David",male
"Mathais, Mr. Montague Vincent",male
"Maxwell, Mr. John",male
"McCarthy, Mr. William",male
"McGough, Mr. James R.",male
"Moore, Mr. George Alfred",male
"Nichols, Mr. Alfred",male
"O'Loughlin, Dr. William Francis Norman",male
"Olliver, Mr. Alfred",male
"Osman, Mr. Frank",male
"Pascoe, Mr. Charles H.",male
"Perkis, Mr. Walter John",male
"Peters, Mr. William Chapman",male
"Poingdestre, Mr. John Thomas",male
"Rowe, Mr. George Thomas",male
"Sawyer, Mr. Robert James",male
"Scarrott, Mr. Joseph George",male
"Simpson, Dr. John Edward",male
"Smith, Mr. William",male
"Symons, Mr. George Thomas Macdonald",male
"Tamlyn, Mr. Frederick",male
"Taylor, Mr. C.",male
"Terrell, Mr. Bertram",male
"Thorley, Mr. Jonathon",male
"Vigott, Mr. Philip Francis",male
"Weller, Mr. William Clifford",male
"Wynn, Mr. Walter",male
"Abrams, Mr. William",male
"Adams, Mr. R.",male
"Allen, Mr. Henry",male
"Allen, Mr. Ernest Frederick",male
"Allsop, Mr. Alfred Samuel",male
"Avery, Mr. James Frank",male
"Bailey, Mr. George W.",male
"Baines, Mr. Richard",male
"Bannon, Mr. John",male
"Barlow, Mr. Charles",male
"Barnes, Mr. Charles",male
"Barnes, Mr. Frederick",male
"Barrett, Mr. Frederick",male
"Barrett, Mr. Frederick William",male
"Beattie, Mr. Joseph",male
"Beauchamp, Mr. George William",male
"Bell, Mr. Joseph",male
"Bendell, Mr. F.",male
"Bennett, Mr. George Alfred",male
"Benville, Mr. E.",male
"Bessant, Mr. William Edward",male
"Bevis, Mr. Joseph Henry",male
"Biggs, Mr. Edward Charles",male
"Billow, Mr. J.",male
"Binstead, Mr. Walter",male
"Black, Mr. Alexander",male
"Black, Mr. D.",male
"Blackman, Mr. H.",male
"Blake, Mr. Percival Albert",male
"Blake, Mr. Thomas",male
"Blaney, Mr. James",male
"Blann, Mr. Eustace Horatius",male
"Bott, Mr. W.",male
"Bradley, Mr. Patrick Joseph",male
"Brewer, Mr. Henry Harry""""""""",male
"Briant, Mr. Albert",male
"Brooks, Mr. J.",male
"Brown, Mr. John",male
"Brown, Mr. Joseph James",male
"Burroughs, Mr. Arthur",male
"Burton, Mr. Edward John",male
"Butt, Mr. William John",male
"Calderwood, Mr. Hugh",male
"Canner, Mr. J.",male
"Carr, Mr. Richard Stephen",male
"Carter, Mr. James",male
"Casey, Mr. T.",male
"Castleman, Mr. Edward",male
"Cavell, Mr. George Henry",male
"Cherrett, Mr. William Victor",male
"Chisnall, Mr. George Alexander",male
"Chorley, Mr. John",male
"Clark, Mr. William",male
"Coe, Mr. Harry",male
"Coleman, Mr. John",male
"Collins,  Mr. Samuel",male
"Combes, Mr. George",male
"Cooper, Mr. Harry",male
"Cooper, Mr. James",male
"Copperthwaite, Mr. B.",male
"Corcoran,  Mr. Dennis",male
"Cotton, Mr. A.",male
"Couch, Mr. Joseph Henry",male
"Couper, Mr. Robert",male
"Coy, Mr. Francis Ernest George",male
"Crabb, Mr. H.",male
"Creese, Mr. Henry Philip",male
"Crimmins, Mr. James",male
"Cross, Mr. W.",male
"Cunningham, Mr. B.",male
"Curtis, Mr. Arthur",male
"Davies, Mr. Thomas",male
"Dawson, Mr. Joseph",male
"Diaper, Mr. J.",male
"Dickson,  Mr. W.",male
"Dilley, Mr. John",male
"Dillon, Mr. Thomas Patrick",male
"Dodd, Mr. Edward Charles",male
"Dodds, Mr. Henry Watson",male
"Doel, Mr. Frederick",male
"Dore, Mr. A.",male
"Doyle, Mr. Laurence",male
"Duffy, Mr. William Luke",male
"Dyer, Mr. Henry Ryland",male
"Dymond, Mr. Frank",male
"Ervine, Mr. Albert G.",male
"Evans, Mr. Williams",male
"Farquharson, Mr. William E.",male
"Fay, Mr. Thomas",male
"Ferris, Mr. William",male
"Fitzpatrick, Mr. Charles W.N.",male
"Ford, Mr. Thomas",male
"Foster, Mr. A.",male
"Fraser, Mr. James",male
"Fredricks, W.",male
"Fryer, Mr. Albert E.",male
"Geer, Mr. Alfred E.",male
"Godwin, Mr. Frederick W.",male
"Gordon, Mr. J.",male
"Goree, Mr. Frank",male
"Grodidge, Mr. Ernest E.",male
"Gumery, Mr. George",male
"Hagan, Mr. John",male
"Hall, Mr. Joseph",male
"Harris, Mr. Frederick",male
"Harrison, Mr. Norman",male
"Harvey, Mr. Herbert G.",male
"Hendrickson, Mr. Charles G.",male
"Hesketh, Mr. James (aka John) H.",male
"Hosking, Mr. George Fox",male
"Hunt, Mr. Albert",male
"Hunt, Mr. T.",male
"Hurst, Walter",male
"Jarvis, Mr. William",male
"Judd, Mr. Charles E.",male
"Jukes, Mr. James",male
"Jupe, Mr. Herbert",male
"Kaspar, Mr. Franz V.",male
"Kearl, Mr. G.",male
"Keegan, Mr. James",male
"Kelly, Mr. William",male
"Kemp, Mr. Thomas H.",male
"Kinsella, Mr. Louis",male
"Knowles, Mr. Thomas",male
"Loyd, Mr. W.",male
"Long, Mr. Frank",male
"Mackie, Mr. William D.",male
"Marsh, Mr. Frederick C.",male
"Mason, Mr. Frank A.R.",male
"Mason, Mr. James",male
"May Jr., Mr. Arthur",male
"May Sr., Mr. Arthur W.",male
"Mayo, Mr. William P.",male
"Mayzes, Mr. Thomas",male
"McInytre, Mr. William",male
"McQuillan, Mr. William",male
"McReynolds, Mr. William",male
"Middleton, Mr. Alfred P.",male
"Millar, Mr. Robert",male
"Millar, Mr. Thomas",male
"Mintram, Mr. William",male
"Morgan, Mr. Thomas A.",male
"Moyes, Mr. William Y.",male
"Murdock, Mr. William",male
"Newman, Mr. Charles T.",male
"Noss, Mr. Bertram A.",male
"Noss, Mr. Henry",male
"Nutbean, Mr. William",male
"O'Connor, Mr. John",male
"Painter, Mr. Charles",male
"Painter, Mr. Frank",male
"Parsons, Mr. Frank A.",male
"Pelham, Mr. George",male
"Perry, Mr. Edgar L.",male
"Podesta, Mr. John",male
"Pond, Mr. George",male
"Prangnell, Mr. George",male
"Preston, Mr. Thomas C.",male
"Priest, Mr. Arthur J.",male
"Pugh, Mr. Percy",male
"Pusey, Mr. Robert W.",male
"Reeves, Mr. Robert",male
"Rice, Mr. Charles",male
"Rous, Mr. Arthur J.",male
"Rudd, Mr. Henry",male
"Saunders, Mr. W.",male
"Scott, Mr. Archibald",male
"Self, Mr. Edward",male
"Senior, Mr. Henry",male
"Shea, Mr. Thomas",male
"Sheath, Mr. Frederick",male
"Shepherd, Mr. Johnathan",male
"Shiers, Mr. Alfred",male
"Shillaber, Mr. Charles",male
"Sloan, Mr. Peter",male
"Small, Mr. William",male
"Smith, Mr. James M.",male
"Snowberger, Mr. Eustace P.",male
"Stanbrook, Mr. Augustus",male
"Street, Mr. Henry A.",male
"Taylor, Mr. James",male
"Taylor, Mr. William H.",male
"Thompson, Mr. John W.",male
"Threlfall, Mr. Thomas",male
"Thresher, Mr. George",male
"van der brugge, Mr. Wessel A.",male
"Vear, Mr. Henry",male
"Vear, Mr. W.",male
"Ward, Mr. Arthur",male
"Ward, Mr. Joseph",male
"Wardner, Mr. Frederick Albert",male
"Webber, Mr. Francis A.",male
"White, Mr. William G.",male
"Williams, Mr. Samuel S.",male
"Wilson, Mr. Bertie",male
"Wilton, Mr. William",male
"Witcher, Mr. Alfred",male
"Witt, Mr. Henry D.",male
"Woodford, Mr. Frederick",male
"Young, Mr. Francis J.",male
"Abbott, Mr. Ernest Owen",male
"Ahier, Mr. Percy Snowden",male
"Akerman, Mr. Albert",male
"Akerman, Mr. Joseph Francis",male
"Allan, Mr. Robert Spencer",male
"Allen, Mr. George",male
"Allen, Mr. Frederick",male
"Allsop, Mr. Frank Richard",male
"Anderson, Mr. Walter J.",male
"Andrews,  Mr. Charles Edward",male
"Ashcroft, Mr. Austin Aloysius",male
"Ashe, Mr. Henry Wellesley",male
"Ayling, Mr. George Edwin",male
"Back, Mr. Charles Frederick",male
"Baggott, Mr. Allen Marden",male
"Bagley, Mr. Edward Ernest",male
"Bailey, Mr. George Francis",male
"Ball, Mr. Percy",male
"Barker, Mr. Albert Vale",male
"Barker, Mr. Ernest T.",male
"Barker, Mr. Reginald Lomond",male
"Barlow, Mr. George",male
"Barratt, Mr. Arthur",male
"Barringer, Mr. Arthur William",male
"Barrow, Mr. Harry",male
"Barrows, Mr. William",male
"Barton, Mr. Sidney John",male
"Baxter, Mr. Harry Ross",male
"Baxter, Mr. Thomas Ferguson",male
"Bedford, Mr. William Barnet",male
"Beedem, Mr. George Arthur",male
"Beere, Mr. William",male
"Benham, Mr. Frederick",male
"Bennett, Mrs. Mabel",female
"Bessant, Mr. Edward William",male
"Best, Mr. Alfred",male
"Blake, Mr. Seaton",male
"Bishop, Mr. Walter Alexander",male
"Bliss, Mrs. Emma (nÃƒÂ©e Junod)",female
"Bochatay, Mr. Alexis Joseph",male
"Bogie, Mr. Norman Leslie",male
"Bond, Mr. William John",male
"Boothby, Mr. W.",male
"Boston, Mr. William John",male
"Boughton, Mr. B.",male
"Boyd, Mr. John",male
"Boyes, Mr. John Henry",male
"Bradshaw, Mr. J.A.",male
"Brewster, Mr. George H.",male
"Bride, Mr. Harold Sydney",male
"Bristow, Mr. Robert Charles",male
"Bristow, Mr. Harry",male
"Brookman, Mr, John",male
"Broom, Mr. H.",male
"Broome, Mr. Athol Frederick",male
"Brown, Mr. Edward",male
"Brown, Mr. Walter James",male
"Buckley, Mr. H.E.",male
"Bull, Mr. W.",male
"Bulley, Mr. Henry Ashburnham",male
"Bunnell, Mr. Wilfred",male
"Burgess, Mr. Charles Reginald",male
"Burke, Mr. Richard Edward",male
"Burke, Mr. William",male
"Burr, Mr. Ewart",male
"Burrage, Mr. Alfred",male
"Butt, Mr. Robert Henry",male
"Butterworth, Mr. John",male
"Byrne, Mr. J.E.",male
"Campbell, Mr. Donald S.",male
"Carney, Mr. William",male
"Cartwright, Mr. James Edward",male
"Casswill, Mr. Charles",male
"Caton, Miss Annie",female
"Caunt, Mr. William Ewart",male
"Cave, Mr. Herbert",male
"Cecil, Mr. C.",male
"Chapman, Mr. Joseph Charles",male
"Charman, Mr. John",male
"Cheverton, Mr. William Edward",male
"Chitty, Mr. Archibald George",male
"Chitty, Mr. George Henry",male
"Christmas, Mr. H.",male
"Coleman, Mr. Albert Edward",male
"Colgan, Mr. E. Joseph",male
"Collins, Mr. John",male
"Conway, Mr. P.W.",male
"Cook, Mr. George",male
"Coombs, Mr. Augustus Charles",male
"Corben, Mr. Ernest Theodore",male
"Coutin, Mr. Auguste Louis",male
"Cox, Mr. William Denton",male
"Crafter, Mr. Frederick",male
"Crawford, Mr. Alfred",male
"Crisp, Mr. Albert Hector",male
"Crispin, Mr. William",male
"Crosby, Mr. J. Bertram",male
"Crowe, Mr. George Frederick",male
"Crumplin, Mr. Charles",male
"Cullen, Mr. Charles",male
"Cunningham, Mr. Andrew",male
"Daniels, Mr. Sidney Edward",male
"Dashwood, Mr. William George",male
"Davies, Mr. Gordon Raleigh",male
"Davies, Mr. John James",male
"Davies, Mr. Robert J.",male
"Dean, Mr. George H.",male
"Deeble, Mr. Alfred Arnold",male
"Derrett, Mr. Albert",male
"Deslands, Mr. Percival Stainer",male
"Desvernine, Mr. Louis Gabriel",male
"Dinenage, Mr. James Richard",male
"Dodd, Mr. George Charles",male
"Dolby, Mr. Joseph",male
"Donoghue, Mr. Frank",male
"Doughty, Mr. W.",male
"Dunford, Mr. William",male
"Dyer, Mr. William",male
"Edbrooke, Mr. F.",male
"Ede, Mr. George B.",male
"Edge, Mr. Frederick William",male
"Edwards, Mr. Clement",male
"Egg, Mr. W.H.",male
"Ellis, Mr. John Bertram",male
"Ennis, Mr. Walter",male
"Etches, Mr. Henry Samuel",male
"Evans, Mr. George Richard",male
"Fairall, Mr. Henry",male
"Farrenden, Mr. Ernest John",male
"Faulkner, Mr. William Stephen",male
"Fellowes, Mr. Alfred J.",male
"Feltham, Mr. G.",male
"Finch, Mr. Harry",male
"Fletcher, Mr. Peter W.",male
"Foley, Mr. William C.",male
"Ford, Mr. Ernest",male
"Ford, Mr. F.",male
"Fox, Mr. William Thomas",male
"Franklin, Mr. Alan Vincent",male
"Freeman, Mr. Ernest Edward Samuel",male
"Geddes, Mr. Richard Charles",male
"Gibbons, Mr. Jacob William",male
"Giles, Mr. John Robert",male
"Gill, Mr. Joseph Stanley",male
"Gill, Mr. Patrick",male
"Gold, Mrs. Katherine (nÃƒÂ©e Cook)",female
"Gollop, Mr. F.",male
"Goshawk, Mr. Arthur James",male
"Gregson, Miss Mary",female
"Gunn, Mr. Joseph Alfred",male
"Guy, Mr. Edward John",male
"Halford, Mr. Richard",male
"Hall, Mr. F.A.J.",male
"Hamblyn, Mr. Ernest William",male
"Hamilton, Mr. Ernest",male
"Harding, Mr. A.",male
"Hardwick, Mr. Reginald",male
"Hardy, Mr. John T.",male
"Harris, Mr. Charles William",male
"Harris, Mr. Clifford Henry",male
"Harris, Mr. Edward",male
"Harrison, Mr. Aragon D.",male
"Hart, Mr. John Edward",male
"Hartnell, Mr. Frederick",male
"Hatch, Mr. Hugh",male
"Hawkesworth, Mr. James",male
"Hawkesworth, Mr. William Walter",male
"Hayter, Mr. Arthur",male
"Heinen, Mr. Joseph",male
"Hendy, Mr. Edward Martin",male
"Hensford, Mr. Herbert George",male
"Hewett, Mr. Thomas",male
"Hill, Mr. H.P.",male
"Hill, Mr. James Colston",male
"Hinckley, Mr. George",male
"Hine, Mr. William Edward",male
"Hiscock, Mr. S.",male
"Hoare, Mr. Leonard James",male
"Hogg, Mr. Charles William",male
"Hogue, Mr. E.",male
"Holland, Mr. Thomas",male
"Holloway, Mr. Sidney",male
"Hopkins, Mr. F.",male
"House, Mr. William",male
"Howell, Mr. Arthur Albert",male
"Hughes, Mr. William Thomas",male
"Humby, Mr. Frederick",male
"Humphreys, Mr. Thomas Humphrey",male
"Hutchinson, Mr. James",male
"Hyland, Mr. Leo James",male
"Ide, Mr. Harry John",male
"Ingrouille, Mr. Henry",male
"Ings, Mr. William Ernest",male
"Jackson, Mr. Cecil",male
"Janaway, Mr. William Frank",male
"Jenner, Mr. Harry",male
"Jensen, Mr. Charles Valdemar",male
"Jessop, Miss Violet Constance",female
"Johnson Thorne, Mr. Harry",male
"Johnston, Mr. James",male
"Jones, Mr. Albert",male
"Jones, Mr. Arthur Ernest",male
"Jones, Mr. H.",male
"Jones, Mr. Reginald V.",male
"Joughin, Mr. Charles John",male
"Keen, Mr. Percy Edward",male
"Kelland, Mr. Thomas",male
"Kennell, Mr. Charles",male
"Kerley, Mr. William Thomas",male
"Ketchley, Mr. Henry",male
"Kieran, Mr. James W.",male
"Kieran, Mr. Michael",male
"King, Mr. Alfred",male
"King, Mr. Ernest Waldron",male
"King, Mr. G.",male
"Kingscote, Mr. William Ford",male
"Kirkaldy, Mr. Thomas",male
"Kitching, Mr. Arthur Alfred",male
"Klein, Mr. Herbert",male
"Knight, Mr. George",male
"Knight, Mr. Leonard George",male
"Lacey, Mr. Bert W.",male
"Lake, Mr. William",male
"Lane, Mr. Albert Edward",male
"Latimer, Mr. Andrew L.",male
"Lavington, Miss Bessie",female
"Lawrence, Mr. Arthur",male
"Leader, Mr. Archie",male
"Leather, Mrs Elizabeth May",female
"Lefebvre, Mr. Paul Georges",male
"Leonard, Mr. Matthew",male
"Levett, Mr. George Alfred",male
"Lewis, Mr. Arthur Ernest",male
"Light, Mr. C.",male
"Littlejohn, Mr. Alexander James",male
"Lloyd, Mr. Humphrey",male
"Locke, Mr. A.",male
"Longmuir, Mr. John Dickson",male
"Lovell, Mr. John",male
"Lucas, Mr. William",male
"Lydiatt, Mr. Charles",male
"Mabey, Mr. J.",male
"Mackay, Mr. Charles Donald",male
"Mackie, Mr. George William",male
"Major, Mr. Thomas Edgar",male
"Mantle, Mr. Roland Frederick",male
"Marks, Mr. J.",male
"Marriott, Mr. J.W.",male
"Marsden, Miss Evelyn",female
"Martin, Mrs. Annie",female
"Martin, Mr. F.",male
"Maynard, Mr. Isaac Hiram",male
"Maytum, Mr. Alfred",male
"McCarthy, Mr. Frederick",male
"McCawley, Mr. Thomas W.",male
"McElroy, Mr. Hugh Walter",male
"McGrady, Mr. James",male
"McLaren, Mrs.",female
"McMicken, Mr. Arthur",male
"McMicken, Mr. Benjamin Tucker",male
"McMullin, Mr. James",male
"McMurray, Mr. William Ernest",male
"Mellor, Mr. Arthur",male
"Middleton, Mr. M.V.",male
"Mills, Mr. Christopher",male
"Mishellamy, Mr. Abraham",male
"Moore, Mr. Alfred Ernest",male
"Morgan (Bird), Mr. Charles Frederick",male
"Morris, Mr. Frank Herbert",male
"Moss, Mr. William",male
"Mullen, Mr. Thomas A.",male
"Neal, Mr. Henry",male
"Nicholls, Mr. Sidney",male
"Nichols, Mr. A. D.",male
"Nichols, Mr. Walter Henry",male
"O'Connor, Mr. Thomas Peter",male
"Olive, Mr. Ernest Roskelly",male
"Orpet, Mr. Walter Hayward",male
"Orr, Mr. J.",male
"Osbourne, Mr. William Edward",male
"Owen, Mr. Lewis",male
"Pacey, Mr. Reginald Ivan",male
"Paintin, Mr. James Arthur",male
"Parsons, Mr. Edward",male
"Parsons, Mr. Richard",male
